    n;             min;             max;             avg;             mea;             bpc;             dev;
  169;      268222.000;      269126.000;      268674.000;      268719.100;           0.001;           0.094;
  170;      272270.000;      353398.000;      312834.000;      276906.300;           0.001;           6.529;
  171;      511774.000;      524634.000;      518204.000;      514281.400;           0.000;           0.559;
  172;      292428.000;      301960.000;      297194.000;      293438.700;           0.001;           0.693;
  173;      280948.000;      288170.000;      284559.000;      281677.000;           0.001;           0.553;
  174;      284100.000;      291552.000;      287826.000;      284960.600;           0.001;           0.551;
  175;      287820.000;      288558.000;      288189.000;      288151.100;           0.001;           0.063;
  176;      333718.000;      465546.000;      399632.000;      341501.300;           0.001;           8.575;
  177;      294292.000;      305902.000;      300097.000;      295326.300;           0.001;           0.849;
  178;      297670.000;      298916.000;      298293.000;      298121.600;           0.001;           0.090;
  179;      300860.000;      374704.000;      337782.000;      307552.400;           0.001;           6.498;
  180;      318464.000;      326504.000;      322484.000;      319472.400;           0.001;           0.548;
  181;      307300.000;      308508.000;      307904.000;      307923.000;           0.001;           0.095;
  182;      311232.000;      320028.000;      315630.000;      312149.400;           0.001;           0.600;
  183;      315000.000;      322844.000;      318922.000;      315728.100;           0.001;           0.541;
  184;      366544.000;      371498.000;      369021.000;      367652.700;           0.001;           0.351;
  185;      321724.000;      329352.000;      325538.000;      322410.500;           0.001;           0.509;
  186;      325254.000;      326204.000;      325729.000;      325723.700;           0.001;           0.101;
  187;      328562.000;      329678.000;      329120.000;      329125.700;           0.001;           0.073;
  188;      349922.000;      406404.000;      378163.000;      353606.700;           0.001;           3.520;
  189;      335792.000;      343540.000;      339666.000;      336507.400;           0.001;           0.495;
  190;      339854.000;      341934.000;      340894.000;      340526.400;           0.001;           0.123;
  191;      343374.000;      351328.000;      347351.000;      344228.900;           0.001;           0.492;
  192;      753924.000;      774342.000;      764133.000;      757670.200;           0.000;           0.620;
  193;      350654.000;      358942.000;      354798.000;      351616.700;           0.001;           0.495;
  194;      355026.000;      369908.000;      362467.000;      356705.400;           0.001;           1.020;
  195;      359320.000;      438714.000;      399017.000;      363747.300;           0.001;           4.852;
  196;      384710.000;      398440.000;      391575.000;      386527.500;           0.001;           0.803;
  197;      519014.000;      531428.000;      525221.000;      521022.300;           0.000;           0.639;
  198;      370278.000;      371966.000;      371122.000;      370951.700;           0.001;           0.101;
  199;      373974.000;      387356.000;      380665.000;      375499.300;           0.001;           0.750;
  200;      446054.000;      463738.000;      454896.000;      449044.100;           0.000;           1.035;
  201;      381998.000;      383098.000;      382548.000;      382540.400;           0.001;           0.075;
